elzarki|434:0:145
03988|298:0:73467
03981|298:0:37390
samuelson|363:0:217;315:1:2314
regranting|270:1:346
biology|263:0:1302;297:0:906;354:0:156;378:0:156;422:0:82;93:0:302;21:1:38;364:1:126;45:1:31;462:1:170;70:1:156
routers|422:0:717
brokering|280:1:528
pressure|131:0:398;273:0:97;488:0:294;104:1:1100
imaginary|153:0:579
feldman|431:1:275;477:1:105
mjolsness|297:0:848;21:1:21
leveson|315:1:3544
b3ob3o|170:0:69
02584|298:0:98930
02585|298:0:30647
02583|298:0:49020
dissections|178:1:1104
02588|298:0:104400
02589|298:0:97556
14389|298:0:88185
14388|298:0:88182
letters|120:0:461;150:0:270;263:0:361;307:0:247;421:0:177;422:0:611;219:1:3599;239:1:254;409:1:6229;45:1:5;491:1:715
14383|298:0:88167
14382|298:0:88164
18600|298:0:100821
14380|298:0:88158
14387|298:0:88179
14386|298:0:88176
14385|298:0:88173
14384|298:0:88170
useridfilenotmatchexception|74:1:1144
sender|429:1:252
powell|363:0:157
04291|298:0:88868
04292|298:0:15765
terminated|253:1:482
8410|298:0:70246
pairing|219:1:1786;393:1:104
02639|298:0:118057
24134|298:0:117428
eagan|363:0:246
708k|139:1:3331
sruthi|298:1:607
02632|298:0:106188
02633|298:0:101195
bagged|21:1:182
stadium|445:1:228
m02|10:0:250
m03|10:0:187
m00|10:0:244
m01|10:0:247
12976|298:0:83946
12977|298:0:83949
12974|298:0:83940
12975|298:0:83943
12972|298:0:83934
12973|298:0:83937
12970|298:0:83928
12971|298:0:83931
7081|298:0:106222
7080|298:0:66256
7083|298:0:103638
7082|298:0:84956
7085|298:0:72216
7084|298:0:66268
places|157:0:274;278:0:3011;440:0:96;488:0:313;200:1:1633;409:1:614
7086|298:0:72867
7089|298:0:93105
7088|298:0:101438
9808|298:0:86744
placed|150:0:746;153:0:835;180:0:180;277:0:67;435:0:182;446:0:192;479:0:41;126:1:3098;21:1:174;264:1:93;272:1:10244;278:1:235;323:1:133;387:1:503
definert|365:0:759
problem|117:0:334;124:0:182;139:0:83;147:0:151;150:0:862;152:0:109;154:0:1024;168:0:35;176:0:849;200:0:25;208:0:190;210:0:50;22:0:55;255:0:26;258:0:610;278:0:7657;284:0:131;286:0:957;304:0:88;348:0:195;350:0:405;355:0:423;358:0:133;365:0:509;375:0:10;380:0:2318;383:0:55;422:0:1577;43:0:61;442:0:14;479:0:29;490:0:41;497:0:7;69:0:974;98:0:1222;104:1:1569;11:1:630;114:1:341;12:1:65;126:1:3307;141:1:2385;155:1:293;156:1:596;178:1:106;200:1:1532;220:1:90;226:1:144;253:1:3332;272:1:12084;297:1:160;328:1:43;34:1:413;343:1:283;345:1:46;361:1:63;362:1:421;364:1:387;398:1:50;403:1:15;409:1:5410;427:1:146;428:1:925;436:1:102;450:1:26;469:1:34;482:1:16;8:1:149;82:1:2002;90:1:74;93:1:593;99:1:20;8:2:411
257125|285:1:893
8170|298:0:69526
8171|298:0:96916
8172|298:0:69532
8173|298:0:69535
8174|298:0:119005
8175|298:0:69541
8176|298:0:69544
8177|298:0:117406
8178|298:0:69550
8179|298:0:69915
jfmfile2fileobjectdata|74:1:956
9508|146:0:416;298:0:73540;101:1:560
rome|81:1:253
6949|298:0:65863
6948|298:0:65860
6943|298:0:113833
6942|298:0:112681
6941|298:0:66258
6940|298:0:65836
6947|298:0:65857
6946|298:0:109029
6945|298:0:78323
6944|298:0:106059
compared|131:0:417;176:0:796;208:0:193;446:0:827;104:1:1119;126:1:2041;190:1:1585;253:1:359;343:1:565;463:1:758
nonetheless|435:0:87
adls|326:0:1;440:1:44
58k|139:1:2803
compares|145:0:162;126:1:2364
details|100:0:1026;131:0:195;132:0:468;136:0:1026;141:0:338;150:0:688;161:0:317;165:0:324;18:0:309;21:0:323;224:0:310;225:0:322;228:0:308;231:0:317;263:0:545;274:0:314;278:0:9431;3:0:1026;344:0:331;369:0:314;411:0:864;422:0:1694;429:0:335;44:0:1026;462:0:1234;471:0:1026;54:0:327;55:0:263;6:0:304;69:0:575;99:0:330;103:1:52;104:1:960;114:1:571;136:1:168;143:1:307;152:1:304;156:1:1547;181:1:1026;188:1:356;190:1:2169;194:1:310;209:1:314;231:1:238;253:1:2798;257:1:326;259:1:307;263:1:1026;290:1:322;300:1:1026;303:1:561;315:1:1768;322:1:332;34:1:117;356:1:94;359:1:42;375:1:302;386:1:321;387:1:549;394:1:307;42:1:309;425:1:310;428:1:330;491:1:10;81:1:574;93:1:1544;94:1:103;13:2:308;16:2:332
cavender|69:0:374
illusion|272:1:4451
18183808|315:1:3845
repeat|150:0:940;435:0:185;462:0:1014;156:1:1634;190:1:1038;323:1:976;491:1:1860;93:1:1631
zhou|301:0:491
worker|490:0:31
3467758|285:1:138;30:1:681
03219|298:0:77438
exposure|263:0:1275
searches|154:0:108;383:0:7;442:0:158;120:1:359;364:1:526;468:1:696;8:1:285
searcher|438:0:108
493866387057|495:1:477
searched|278:0:10000;236:1:370;429:1:160;468:1:1179
rxnconditionsid|121:0:737;146:0:736;222:0:754;290:0:759;293:0:737;458:0:732;85:0:735;101:1:736;215:1:749;377:1:751;424:1:742;495:1:737
22504|298:0:112538
roeschlin|219:1:313
extenders|301:1:78
13737|298:0:86229
0834|298:0:60116
13735|298:0:86223
13734|298:0:86220
13733|298:0:86217
13732|298:0:86214
oebondbase|182:0:43;475:0:57;458:1:77
13730|298:0:86208
integrity|104:0:66;105:0:66;109:0:73;11:0:75;114:0:66;116:0:73;118:0:66;123:0:66;126:0:73;128:0:66;130:0:66;135:0:66;141:0:73;142:0:75;143:0:74;144:0:66;161:0:73;163:0:66;165:0:73;167:0:73;172:0:73;178:0:73;18:0:73;181:0:66;188:0:73;192:0:66;195:0:75;196:0:66;2:0:73;201:0:73;203:0:73;21:0:73;217:0:66;218:0:66;223:0:73;224:0:73;225:0:73;228:0:73;231:0:73;236:0:66;239:0:66;241:0:73;245:0:73;246:0:66;248:0:73;249:0:73;251:0:75;256:0:66;26:0:73;261:0:73;263:0:1384;265:0:73;27:0:66;274:0:73;276:0:73;278:0:13617;279:0:66;28:0:66;280:0:74;281:0:66;282:0:66;283:0:66;288:0:66;291:0:66;292:0:357;294:0:66;299:0:66;305:0:75;308:0:66;311:0:73;312:0:66;313:0:66;314:0:66;315:0:72;322:0:73;325:0:73;328:0:66;330:0:73;331:0:66;34:0:66;344:0:73;346:0:66;356:0:73;360:0:73;361:0:73;364:0:66;367:0:78;369:0:73;373:0:66;387:0:66;388:0:66;389:0:73;393:0:73;395:0:66;396:0:73;402:0:73;404:0:66;409:0:73;414:0:66;417:0:73;423:0:74;427:0:73;429:0:73;441:0:66;445:0:73;449:0:66;454:0:66;456:0:66;459:0:66;469:0:73;472:0:73;476:0:73;477:0:73;478:0:73;481:0:66;482:0:88;484:0:66;487:0:66;488:0:73;496:0:73;498:0:66;53:0:75;54:0:73;59:0:66;6:0:73;61:0:66;65:0:66;7:0:66;70:0:66;72:0:73;78:0:75;80:0:73;84:0:73;93:0:74;99:0:73;10:1:73;100:1:66;102:1:66;107:1:73;111:1:66;119:1:73;120:1:73;123:1:75;125:1:66;129:1:66;136:1:73;140:1:66;143:1:73;149:1:179;150:1:73;152:1:73;153:1:66;154:1:66;158:1:75;159:1:66;16:1:66;160:1:73;163:1:66;164:1:66;166:1:73;167:1:75;177:1:66;18:1:66;180:1:73;188:1:73;192:1:66;194:1:73;198:1:73;199:1:66;204:1:74;209:1:73;210:1:73;211:1:73;219:1:2606;224:1:73;227:1:66;229:1:66;234:1:66;237:1:66;239:1:88;24:1:73;240:1:66;252:1:66;257:1:73;258:1:66;259:1:73;26:1:66;265:1:73;267:1:66;268:1:73;269:1:66;279:1:66;28:1:66;281:1:66;282:1:66;286:1:66;29:1:66;290:1:73;293:1:66;295:1:66;304:1:66;308:1:50;31:1:66;310:1:73;311:1:73;314:1:73;318:1:66;320:1:66;322:1:73;324:1:73;326:1:73;334:1:66;337:1:66;34:1:398;346:1:66;348:1:66;352:1:73;353:1:88;36:1:66;363:1:66;369:1:66;375:1:74;379:1:66;380:1:73;386:1:73;39:1:66;392:1:66;394:1:73;396:1:73;397:1:66;406:1:73;407:1:72;410:1:66;419:1:66;42:1:73;425:1:73;43:1:73;431:1:73;432:1:73;435:1:66;437:1:66;44:1:73;441:1:74;442:1:66;443:1:66;446:1:73;449:1:73;46:1:73;461:1:66;466:1:66;467:1:73;47:1:66;473:1:75;474:1:73;478:1:66;485:1:66;486:1:73;488:1:73;499:1:73;52:1:66;53:1:66;54:1:73;56:1:66;6:1:73;65:1:75;66:1:66;68:1:73;69:1:66;71:1:73;80:1:66;85:1:66;87:1:66;9:1:66;95:1:73;10:2:73;13:2:73;15:2:66;16:2:73;21:2:88;3:2:73;5:2:73;6:2:66;7:2:66
0838|298:0:107733
13739|298:0:86235
13738|298:0:86232
11380|298:0:79158
11381|298:0:79161
11382|298:0:79164
11383|298:0:79167
11384|298:0:79170
11385|298:0:79173
11386|298:0:79176
11387|293:0:535;298:0:79179
11388|298:0:79182
11389|298:0:79185
periodicals|446:0:691
nextoffset|133:0:107
neighbours|464:1:587
19159|298:0:102498
19158|298:0:102495
19155|298:0:102486
19154|298:0:102483
19157|298:0:102492
19156|298:0:102489
19151|298:0:102474
19150|298:0:102471
19153|298:0:102480
19152|298:0:102477
replication|98:0:918;298:1:328
summarized|482:0:213
cml|108:0:310;112:0:323;12:0:316;124:0:327;15:0:313;151:0:311;180:0:325;193:0:319;209:0:316;226:0:323;23:0:322;235:0:319;240:0:328;30:0:314;302:0:314;306:0:310;336:0:313;347:0:310;354:0:319;376:0:308;378:0:322;405:0:316;421:0:320;447:0:321;463:0:311;486:0:319;499:0:328;51:0:311;77:0:320;105:1:310;118:1:309;146:1:310;168:1:310;189:1:310;197:1:310;207:1:315;213:1:320;233:1:322;246:1:320;247:1:319;254:1:325;266:1:320;277:1:313;284:1:316;3:1:313;302:1:322;33:1:313;335:1:319;339:1:319;349:1:325;370:1:310;383:1:316;423:1:308;426:1:311;447:1:319;448:1:311;476:1:318;489:1:320;64:1:317;67:1:317;70:1:317;91:1:320;0:2:317
investigator|440:0:234
cmd|316:0:194;82:1:3156
execbonus|269:0:59
424054|193:0:300
424053|335:1:300
424052|108:0:291;30:0:295;306:0:291;207:1:296;266:1:301;284:1:297;349:1:306;64:1:298;70:1:298
424051|151:0:292;423:1:289;0:2:298
cmu|12:0:167;193:0:166;422:0:1611;499:0:155;127:1:171;335:1:166;383:1:167;70:1:167
cmt|219:1:2194
preferencespython2|149:0:70
08445|298:0:62363
587|266:0:241;298:0:103722
ftsoloaddlist|255:1:401
786k|139:1:3355
008181|298:0:90680
582|298:0:110691;84:1:38
machines|289:0:109;422:0:794;482:0:463;104:1:1388;134:1:632;135:1:27;315:1:648;344:1:7;396:1:694
583|298:0:108153;490:1:93;18:2:33
08442|298:0:16047
rutgers|435:0:283
422648|207:1:298;284:1:299;335:1:302;349:1:308
42586|315:1:2994
2519|298:0:59435
inline|79:0:249
lowengrub|67:0:208
repr|82:1:2519
equals|141:0:204;145:0:132;161:0:183;165:0:190;18:0:175;21:0:189;224:0:176;225:0:188;228:0:174;231:0:183;274:0:180;310:0:146;344:0:197;369:0:180;403:0:312;429:0:201;461:0:270;54:0:193;6:0:170;60:0:181;99:0:196;143:1:173;152:1:170;188:1:222;194:1:176;196:1:105;209:1:180;253:1:1458;257:1:192;259:1:173;272:1:8469;290:1:188;322:1:198;386:1:187;394:1:173;42:1:175;425:1:176;463:1:471;13:2:174;16:2:198
7867|298:0:68617
7866|298:0:103382
7865|298:0:117001
protection|113:0:37;13:0:19;380:0:914;98:0:1172;429:1:143
7863|298:0:68605
7862|298:0:68602
7861|298:0:105564
7860|298:0:68596
googletestframework|156:1:368;93:1:365
7869|298:0:93627
7868|298:0:77228
obtained|102:0:67;273:0:141;278:0:14561;358:0:98;365:0:1335;411:0:276;438:0:310;95:0:1162;141:1:963;178:1:789;409:1:2021
16818|298:0:95473
2517|222:0:703;298:0:65292;495:1:443
16811|298:0:95452
16810|298:0:95449
16813|298:0:95458
16812|298:0:95455
16815|298:0:95464
16814|298:0:95461
16817|298:0:95470;424:1:266
16816|298:0:95467
12129|298:0:81405
12128|298:0:81402
pred1|156:1:1127;93:1:1124
2512|298:0:44322
12121|298:0:81381
12120|298:0:81378
12123|298:0:81387
12122|298:0:81384
12125|298:0:81393
12124|298:0:81390
12127|298:0:81399
12126|298:0:81396
10417|298:0:76269
10416|298:0:76266
10415|298:0:76263
10414|298:0:76260
10413|298:0:76257
10412|298:0:76254
10411|298:0:76251
10410|298:0:76248
arbitary|195:1:350
24206|298:0:117644
10419|298:0:76275
10418|298:0:76272
24209|298:0:117653
9328|298:0:82007
9329|298:0:73003
archaeological|409:1:1177
4143|298:0:119812
24208|298:0:117650
9322|298:0:72982
9323|298:0:116851
9320|298:0:72976
9321|298:0:72979
9326|298:0:85766
9327|298:0:91205
9324|298:0:106871
9325|298:0:102218
21729|298:0:110212
8940|298:0:71836
8943|298:0:113434
8942|298:0:109782
8945|298:0:71851
8944|298:0:71848
8947|298:0:104349
8946|298:0:101648
8949|298:0:112006
8948|298:0:79976
21723|298:0:110194
21722|298:0:110191
21725|298:0:110200
21724|298:0:110197
21727|298:0:110206
21726|298:0:110203
199m|408:1:95
separated|176:0:100;278:0:16174;126:1:1475;190:1:2180;298:1:581;387:1:96;8:2:162
14729|298:0:89205
changedirectorylistener|74:1:1197
mathew|301:0:600
backwards|487:1:10
separates|253:1:172
blocking|95:0:1061
1433|121:0:459;222:0:297;298:0:111754;85:0:236;495:1:532
1991|120:0:65;286:0:1024;297:0:789;298:0:117307;413:0:118;440:0:236;219:1:4071;241:1:92;280:1:328;364:1:236;409:1:7408;8:2:438
1990|120:0:70;153:0:856;286:0:698;297:0:807;380:0:96;413:0:127;104:1:1674;219:1:4084;280:1:108;364:1:70;409:1:6929
1993|120:0:464;253:0:717;262:0:90;298:0:84059;370:0:221;219:1:3975;248:1:114;280:1:385;364:1:250;409:1:6991;8:1:329;18:2:56
1992|120:0:463;263:0:767;286:0:869;298:0:86228;380:0:119;413:0:142;104:1:1706;219:1:4020;280:1:263;315:1:1940;364:1:292;409:1:7254;436:1:106;8:1:405;18:2:49
1995|120:0:244;176:0:22;258:0:280;278:0:15166;286:0:732;297:0:443;298:0:115009;363:0:233;380:0:225;104:1:1712;178:1:914;187:1:104;219:1:3845;220:1:17;248:1:193;272:1:12750;280:1:342;315:1:1742;361:1:31;364:1:308;409:1:6973;8:1:117;8:2:454
1994|120:0:456;138:0:76;253:0:728;278:0:15094;298:0:119458;363:0:97;380:0:165;381:0:305;422:0:294;440:0:243;474:0:663;219:1:3899;248:1:177;272:1:12652;280:1:449;315:1:2755;409:1:7467;8:1:340
1997|120:0:598;138:0:235;154:0:31;179:0:6;234:0:21;278:0:14944;351:0:6;365:0:1590;370:0:255;381:0:7;40:0:29;411:0:2752;428:0:110;485:0:78;104:1:1723;114:1:1500;13:1:67;165:1:8;205:1:10;219:1:3678;22:1:13;272:1:12767;280:1:612;303:1:250;325:1:227;367:1:8;376:1:32;399:1:28;409:1:7427;416:1:17;55:1:22;8:1:441
1996|120:0:457;147:0:10;185:0:39;24:0:26;254:0:27;278:0:15105;298:0:110205;300:0:30;320:0:12;341:0:134;363:0:314;365:0:1242;380:0:2489;474:0:493;11:1:29;151:1:26;205:1:216;219:1:3773;248:1:44;25:1:465;272:1:12663;280:1:519;296:1:202;303:1:272;343:1:12;350:1:23;356:1:25;364:1:456;395:1:230;404:1:28;409:1:7333;414:1:130;421:1:12;436:1:108;76:1:217;8:1:249;81:1:622;97:1:20;8:2:457
1999|101:0:35;106:0:5;120:0:177;150:0:1216;227:0:4;297:0:770;324:0:10;352:0:10;365:0:1577;422:0:15;428:0:222;69:0:7;104:1:1737;114:1:1532;219:1:3504;233:1:168;271:1:204;280:1:743;315:1:2724;338:1:313;364:1:465;366:1:24;403:1:200;412:1:335;429:1:267;468:1:1275;496:1:267;79:1:49;8:1:349;81:1:652
1998|101:0:51;183:0:5;262:0:13;263:0:732;278:0:16599;298:0:117973;341:0:305;365:0:1480;422:0:297;428:0:242;104:1:1728;106:1:39;114:1:1459;141:1:69;178:1:933;195:1:16;219:1:3606;236:1:13;260:1:19;271:1:134;272:1:40;280:1:729;315:1:3894;323:1:579;483:1:58
mofified|147:0:1485
jtable|74:1:642
era|26:0:180;379:0:462;219:1:823;315:1:3007;396:1:180
containment|380:0:1999;479:0:130;272:1:3488;92:1:12
scripting|249:1:74
22817|298:0:113477
2860|424:1:592
2861|298:0:81866
2862|298:0:24833;377:1:239
2863|298:0:98054
2864|298:0:13851
2865|298:0:73077
indicated|147:0:605;150:0:614;278:0:10617;66:0:54;272:1:9780;409:1:5308;491:1:3268
2867|298:0:113050
2868|298:0:111358
2869|298:0:110361
24238|298:0:117740
indicates|147:0:679;190:0:145;258:0:1274;278:0:11295;284:0:132;348:0:8;363:0:20;56:0:39;190:1:796;272:1:4917;362:1:147;491:1:2150
mpe|4:0:44;43:0:32;15:1:87
scrollbars|134:1:606
24230|298:0:117716
24231|298:0:117719
24232|298:0:117722
24233|298:0:117725
24234|298:0:117728
24235|298:0:117731
24236|298:0:117734
24237|298:0:117737
recovery|100:0:695;136:0:695;210:0:12;3:0:695;44:0:695;471:0:695;98:0:472;181:1:695;263:1:695;300:1:695
carriers|422:0:1037
provide|10:0:307;13:0:18;138:0:112;147:0:352;150:0:571;154:0:776;210:0:39;254:0:284;263:0:215;278:0:16452;292:0:200;297:0:542;300:0:105;319:0:103;350:0:369;357:0:252;365:0:311;372:0:105;380:0:1196;411:0:1023;430:0:16;55:0:67;71:0:28;95:0:283;96:0:20;114:1:894;126:1:278;141:1:3217;156:1:854;200:1:1593;204:1:279;218:1:14;22:1:92;231:1:375;272:1:12111;298:1:244;299:1:51;303:1:433;315:1:173;325:1:166;34:1:528;356:1:178;364:1:629;409:1:2045;427:1:41;429:1:126;436:1:149;441:1:181;79:1:17;93:1:851;94:1:151
nuts|451:1:17
krkpa7|447:1:178
fsexception|74:1:1138
truthful|289:0:104
arcs|211:0:131;243:0:125;141:1:3924
hong|379:0:263;67:0:326
07077|298:0:117898
arch|371:1:245;491:1:334
07072|298:0:89099
gtoc|438:0:295
rerunning|200:1:1696
appreciate|187:0:68;81:1:43
graphplan|428:0:161
slimmed|468:1:690
onternal|416:1:237
23619|298:0:115883
23618|298:0:115880
innovative|100:0:878;109:0:343;116:0:341;126:0:343;136:0:878;167:0:343;172:0:343;178:0:343;188:0:341;2:0:341;201:0:343;203:0:343;223:0:343;245:0:341;248:0:343;249:0:341;261:0:343;276:0:343;3:0:878;311:0:343;322:0:343;325:0:343;330:0:343;356:0:343;360:0:343;361:0:343;367:0:194;389:0:343;393:0:343;396:0:343;409:0:343;417:0:343;427:0:341;44:0:878;445:0:343;469:0:343;471:0:878;472:0:343;476:0:343;477:0:343;478:0:343;496:0:343;80:0:343;84:0:343;10:1:343;107:1:341;119:1:343;150:1:343;160:1:343;166:1:343;180:1:343;181:1:878;198:1:343;210:1:343;219:1:4081;224:1:341;24:1:343;263:1:878;265:1:343;268:1:343;300:1:878;310:1:343;311:1:343;314:1:343;324:1:343;326:1:343;352:1:343;359:1:79;380:1:341;406:1:343;409:1:4074;43:1:341;432:1:343;44:1:343;446:1:343;449:1:343;46:1:343;467:1:343;474:1:343;486:1:343;488:1:343;499:1:343;54:1:341;6:1:343;68:1:343;71:1:343;95:1:341;10:2:343;3:2:343;5:2:343
23613|298:0:115865
23612|298:0:115862
23611|298:0:115859
23610|298:0:115856
23617|298:0:115877
23616|298:0:115874
23615|298:0:115871
23614|298:0:115868
production|278:0:16267;272:1:9182;280:1:287
edgeat|403:0:272
pptx|177:0:15;337:0:62;468:0:151;415:1:81;98:1:64
coffee|414:1:331
safe|113:0:17;379:0:216;98:0:444;104:1:1263;156:1:750;165:1:25;190:1:1830;272:1:9071;298:1:568;315:1:1863;422:1:61;463:1:170;468:1:557;93:1:747
collide|272:1:1642
sack|364:1:414;8:1:265
simplices|411:0:655
oedefaultimplicithcount|12:2:72
reasonably|278:0:14021;134:1:455;178:1:881;409:1:5746;416:1:1472
routines|287:0:12;387:1:352
reasonable|13:0:21;153:0:932;154:0:581;176:0:497;278:0:10871;319:0:206;95:0:733;156:1:913;93:1:910
flyers|366:1:7
outerface|141:1:998
associative|153:0:368;299:1:74
pgp|422:0:1747
por|409:1:6184
setsfunctions|117:1:12
06032|298:0:116269
06031|298:0:112546
statetoken|272:1:12385
06037|298:0:84167
06035|298:0:103427
daniel|253:0:519;254:0:496;278:0:15170;411:0:2884;45:0:10;205:1:448;272:1:12754;315:1:3700;350:1:16
isis96|286:0:1053
judith|154:0:329;278:0:14778;272:1:12500;431:1:286;55:1:174
intertext|253:0:490
barrier|95:0:139;116:1:202
5549|121:0:563;298:0:97397
detecting|278:0:7902;286:0:239;462:0:989;155:1:285;34:1:483
soundcloud|100:0:829;136:0:829;3:0:829;44:0:829;471:0:829;181:1:829;263:1:829;300:1:829
getfont|403:0:276
clipboardowner|74:1:777
luong|431:1:396
generalizations|141:1:480;8:2:234
1216914|240:0:286
1216917|247:1:277
render|295:0:59
5544|298:0:94107
another|131:0:324;132:0:287;134:0:58;147:0:1341;150:0:1071;153:0:587;176:0:798;211:0:145;243:0:139;263:0:1532;278:0:11914;287:0:217;292:0:470;301:0:352;320:0:529;335:0:31;350:0:134;367:0:752;380:0:1684;411:0:2606;422:0:1703;435:0:140;446:0:754;455:0:54;462:0:707;464:0:18;479:0:81;55:0:382;69:0:651;93:0:316;104:1:1018;11:1:367;114:1:1020;126:1:2491;141:1:3938;149:1:382;151:1:234;155:1:416;156:1:1145;162:1:172;178:1:71;190:1:1921;2:1:39;200:1:1277;219:1:2147;222:1:99;242:1:170;253:1:3546;272:1:12086;298:1:513;313:1:248;315:1:1871;34:1:138;343:1:949;350:1:299;362:1:271;364:1:199;40:1:13;409:1:4207;416:1:1100;463:1:1045;468:1:290;81:1:232;93:1:1142;99:1:11;8:2:165
electronic|131:0:549;150:0:492;253:0:663;255:0:40;273:0:27;446:0:397;46:0:209;482:0:337;95:0:1172;104:1:1009;134:1:716;155:1:34;200:1:187;219:1:3793;280:1:768;315:1:2008;34:1:245;396:1:692;403:1:203;409:1:6652;412:1:338;429:1:270;76:1:186;94:1:122
illustrate|173:0:19;350:0:419;422:0:139;95:0:175;126:1:171;25:1:783;316:1:251
2051|297:0:80;298:0:23627
timothy|125:0:22;488:0:246;315:1:3471
2053|222:0:103;298:0:97763;458:0:262;85:0:683
cartesian|10:0:430;286:0:1050;411:0:1393;462:0:115
2055|297:0:81;298:0:53240
2054|298:0:86174
2056|298:0:77243
4826|298:0:113014
2058|298:0:71202
4824|298:0:114832
4825|298:0:115405
4822|298:0:117625
4823|298:0:79454
approximately|286:0:375;443:0:58;55:0:1029;60:0:400;120:1:356;141:1:3136;17:2:37;8:2:304
4821|298:0:102917
subproblems|490:0:35;343:1:332
john|168:0:17;253:0:424;278:0:14794;289:0:35;297:0:932;348:0:358;363:0:132;367:0:540;381:0:151;195:1:29;226:1:147;280:1:395;315:1:3532;343:1:495;364:1:690;409:1:7253;414:1:235;428:1:558;459:1:25;55:1:102;81:1:321;8:2:313
721521541506|101:1:722
hadar|315:0:250;325:1:218;431:1:656
wastes|482:0:333
wasted|479:0:21
meteorology|422:0:76
482k|139:1:3163
historical|138:0:62;254:0:227;325:1:22;409:1:6735
19b3o56b3o11bobo|57:1:19
kuperberg|364:1:812
generable|272:1:8948
halfedge|461:0:368
contents|10:0:488;129:0:13;137:0:377;147:0:1380;150:0:651;208:0:88;278:0:13982;323:0:97;355:0:382;365:0:313;379:0:50;380:0:1989;391:0:56;394:0:313;411:0:2899;413:0:57;430:0:54;461:0:396;470:0:188;69:0:300;98:0:8;114:1:874;179:1:115;183:1:65;193:1:44;200:1:572;205:1:12;218:1:34;262:1:29;272:1:11972;294:1:37;323:1:972;409:1:5565;412:1:159;455:1:101;483:1:17
08669|298:0:17766
convenient|411:0:76;446:0:367;493:0:47;104:1:1442;126:1:3109;156:1:964;200:1:1535;93:1:961
definining|126:1:3091
51bobbo4b3o3bobo70bobo3b3o4bobbo|157:1:52
18444|298:0:100353
18445|298:0:100356
18446|298:0:100359
subjects|286:0:581;200:1:462
18440|298:0:100341
18441|298:0:100344
18442|298:0:100347
18443|298:0:100350
13420|298:0:85278
18448|298:0:100365
18449|298:0:100368
adddetail|416:0:61
15674|298:0:92040
15675|298:0:92043
15676|298:0:92046
15677|298:0:92049
15670|298:0:92028
15671|298:0:92031
15672|298:0:92034
15673|298:0:92037
bruce|297:0:937;151:1:297;315:1:3766;81:1:166
15678|298:0:92052;495:1:286
15679|298:0:92055
germany|243:0:28;379:0:529;141:1:3822;23:1:14;280:1:202
scripts|258:0:418;278:0:14063;284:0:815;422:0:1163;190:1:1985
acknowledgements|278:0:14604;365:0:1378;272:1:12415
11238|298:0:78732
calif|120:1:157;353:1:208;21:2:208
370060638115|121:0:282
11239|298:0:78735
pred2|156:1:1184;93:1:1181
witnessed|409:1:3927;81:1:290
enshrined|409:1:3423
abstractstorageserver|310:0:276;74:1:290
reserve|278:0:14192;34:1:391
recount|396:1:267
7bo2bobo2bo7bo2bobo2bo|170:0:45
lewis|269:0:3
08084|298:0:93765
11231|298:0:78711
marcu|82:1:24
helpdesk|252:0:104;266:0:105
11235|298:0:78723
02901|298:0:75178
02908|298:0:117094
rectangle|153:0:60;358:0:69;403:0:147;126:1:3214;178:1:145;236:1:26;97:1:62
uncountable|422:0:1528
4049302|30:1:160
ephone|269:0:41
runs|102:0:7;190:0:96;258:0:1170;490:0:69;156:1:125;253:1:2184;264:1:114;272:1:10931;409:1:3687;429:1:152;459:1:74;82:1:2755
098730|285:1:412
morph|299:1:33
emj|297:0:104
emp|297:0:984
emr|94:1:31
occ3c4ccccc4|290:0:286;101:1:397;495:1:302
secretary|120:0:224;315:1:416;81:1:281
06958|298:0:79673
06951|298:0:119125
discussions|254:0:179;278:0:147;320:0:451;411:0:2891;114:1:139;155:1:173;260:1:125;272:1:176;276:1:147;402:1:91;409:1:5358
optimum|69:0:515
techniques|117:0:339;147:0:118;176:0:834;200:0:53;263:0:1654;273:0:86;278:0:13822;286:0:46;295:0:63;372:0:122;418:0:128;435:0:262;45:0:31;95:0:772;104:1:1588;120:1:375;127:1:219;141:1:698;149:1:396;155:1:210;204:1:289;219:1:957;298:1:91;325:1:156;344:1:10;364:1:476;375:1:403;402:1:42;409:1:7227;428:1:442;468:1:593
draws|465:0:229
pasted|190:1:264
away|150:0:436;153:0:150;154:0:1144;284:0:162;422:0:1693;462:0:761;11:1:180;126:1:3264;134:1:76;178:1:627;343:1:402;409:1:4865;411:1:675;468:1:1169
drawy|403:0:133
drawx|403:0:132
cooperation|267:0:51;98:0:170;338:1:82
drawn|211:0:70;442:0:28;446:0:369;141:1:3406;35:1:64;8:2:92
encounters|367:0:334
answers|131:0:111;132:0:356;284:0:163;335:0:375;358:0:11;435:0:78;446:0:646;95:0:540;104:1:1505;134:1:714;222:1:22;25:1:51;313:1:216;362:1:779;371:1:269
mtsb|32:0:152
cfay|55:1:65
essentially|278:0:13628;287:0:180;479:0:24;69:0:602;8:1:128
keycard|155:1:337
02019|298:0:91952
02015|298:0:94596
02013|298:0:84350
733023450641|424:1:505
04881|298:0:28964
04883|298:0:19237
04885|298:0:3694
04887|298:0:111214
emporium|214:0:400
tprc|95:0:672
discoverer|236:1:156
33461375|96:1:99
tons|55:0:247
000000327211231|315:1:2122
applicability|372:0:102;380:0:2444;325:1:68
tony|143:0:155;367:0:1019;315:1:2741;343:1:704
panagiotis|315:1:2997
telecommunications|367:0:175;34:1:329
12441|298:0:82341
